wave,n_countries,raw_mean,raw_sd,alignment_obj,factor_loadings
3,52,-0.02654723161481632,0.3187414224805225,25.737436832634803,"[1.0, 1.0, 1.0]"
4,67,0.004612288348574296,0.3179902978304502,31.814050757966367,"[1.0, 1.0, 1.0]"
5,81,-0.009859991405488005,0.29630543491266464,38.92196005870274,"[1.0, 1.0, 1.0]"
6,57,-0.02354052532211307,0.26511941720518056,23.789627045488913,"[1.0, 1.0, 1.0]"
7,90,0.03657109351535063,0.364364896116509,47.172168983346495,"[1.0, 1.0, 1.0]"
