category,n,n_sig,mean,sd,mn,mx
cultural,3,3,0.6776,0.02525133659828725,0.6487,0.6954
economic,3,3,0.6801666666666666,0.020853377024677208,0.6564,0.6954
measurement,7,6,1.5483428571428572,0.592711396485515,0.6564,2.4473
placebo,2,1,0.15485,0.33368369004193177,-0.0811,0.3908
polarization,3,2,0.8164333333333333,0.26717614663987743,0.6371,1.1235
specification,10,8,0.6717000000000001,0.21525072718937685,0.2548,1.1235
supply_side,3,2,0.8426333333333332,0.24333270091242015,0.6954,1.1235
