wave,wave_year,n_countries,mean_agp,sd_agp,min_agp,max_agp,range_agp,cv_agp
3,1997,52,-1.0675221390626506e-17,1.0,-1.869598542257185,2.210788410527032,4.080386952784217,
4,2001,67,-1.657049290485308e-17,0.9999999999999999,-1.7088762159699558,2.292615144406355,4.001491360376311,
5,2007,81,-1.9189039931792828e-17,1.0,-2.2604166800402483,1.69670023145974,3.9571169114999885,
6,2013,57,2.434699615406045e-17,0.9999999999999999,-1.9669168169150224,2.2830485144199546,4.249965331334977,
7,2019,90,-1.2335811384723961e-17,1.0,-1.937785981524858,1.839236426719684,3.777022408244542,
