wave_lag,wave_chron,n_countries,mean_ebb_mag
3.0,4,5,-1.0745603451262986
3.0,5,5,-0.44842589032510666
4.0,5,23,-0.49405655078337557
4.0,6,3,-1.0567162289219199
4.0,7,1,-0.32582984508409973
5.0,6,22,-0.6551626070149807
5.0,7,20,-0.616515865755875
6.0,7,14,-0.48332402962118076
